INDEKSAS,PAVAD,LIDAR_LAZ
77/31,NEMĖŽIS,https://www.geoportal.lt/download/lidar_data/2025/77_31.zip
78/31,VĖLIUČIONYS,https://www.geoportal.lt/download/lidar_data/2025/78_31.zip
72/30,SENIEJI TRAKAI,https://www.geoportal.lt/download/lidar_data/2025/72_30.zip
74/30,NAUJAKIEMIS,https://www.geoportal.lt/download/lidar_data/2025/74_30.zip
75/30,PAGIRIAI,https://www.geoportal.lt/download/lidar_data/2025/75_30.zip
76/30,JUODŠILIAI,https://www.geoportal.lt/download/lidar_data/2025/76_30.zip
77/30,RUDAMINA,https://www.geoportal.lt/download/lidar_data/2025/77_30.zip
75/29,KETURIASDEŠIMT TOTORIŲ,https://www.geoportal.lt/download/lidar_data/2025/75_29.zip
76/29,VALČIŪNAI,https://www.geoportal.lt/download/lidar_data/2025/76_29.zip
61/28,PUNIA,https://www.geoportal.lt/download/lidar_data/2025/61_28.zip
60/25,ALYTUS - VIDZGIRIS,https://www.geoportal.lt/download/lidar_data/2025/60_25.zip
